id,string,url
610U500US09032,Sen. Eric C. Berthel (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S32'&dist_name=Berthel,%20Eric%20C."
610U500US09026,Sen. Toni Boucher (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S26'&dist_name=Boucher,%20Toni%20"
610U500US09005,Sen. Beth Bye (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S05'&dist_name=Bye,%20Beth%20"
610U500US09004,Sen. Steve Cassano (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S04'&dist_name=Cassano,%20Steve%20"
610U500US09009,Sen. Paul R. Doyle (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S09'&dist_name=Doyle,%20Paul%20R."
610U500US09025,Sen. Bob Duff (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S25'&dist_name=Duff,%20Bob%20"
610U500US09034,Sen. Leonard A. Fasano (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S34'&dist_name=Fasano,%20Leonard%20A."
610U500US09029,Sen. Mae Flexer (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S29'&dist_name=Flexer,%20Mae%20"
610U500US09001,Sen. John W. Fonfara (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S01'&dist_name=Fonfara,%20John%20W."
610U500US09020,Sen. Paul M. Formica (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S20'&dist_name=Formica,%20Paul%20M."
610U500US09036,Sen. L. Scott Frantz (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S36'&dist_name=Frantz,%20L.%20Scott%20"
610U500US09006,Sen. Terry B. Gerratana (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S06'&dist_name=Gerratana,%20Terry%20B."
610U500US09023,Sen. Edwin A. Gomes (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S23'&dist_name=Gomes,%20Edwin%20A."
610U500US09035,Sen. Anthony Guglielmo (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S35'&dist_name=Guglielmo,%20Anthony%20"
610U500US09015,Sen. Joan V. Hartley (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S15'&dist_name=Hartley,%20Joan%20V."
610U500US09028,Sen. Tony Hwang (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S28'&dist_name=Hwang,%20Tony%20"
610U500US09021,Sen. Kevin C. Kelly (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S21'&dist_name=Kelly,%20Kevin%20C."
610U500US09012,Sen. Ted Kennedy (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S12'&dist_name=Kennedy,%20Ted%20"
610U500US09007,Sen. John A. Kissel (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S07'&dist_name=Kissel,%20John%20A."
610U500US09003,Sen. Timothy D. Larson (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S03'&dist_name=Larson,%20Timothy%20D."
610U500US09027,Sen. Carlo Leone (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S27'&dist_name=Leone,%20Carlo%20"
610U500US09033,Sen. Art Linares (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S33'&dist_name=Linares,%20Art%20"
610U500US09017,Sen. George S. Logan (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S17'&dist_name=Logan,%20George%20S."
610U500US09011,Sen. Martin M. Looney (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S11'&dist_name=Looney,%20Martin%20M."
610U500US09016,Sen. Joe Markley (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S16'&dist_name=Markley,%20Joe%20"
610U500US09031,Sen. Henri Martin (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S31'&dist_name=Martin,%20Henri%20"
610U500US09002,Sen. Douglas McCrory (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S02'&dist_name=McCrory,%20Douglas%20"
610U500US09024,Sen. Michael A. McLachlan (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S24'&dist_name=McLachlan,%20Michael%20A."
610U500US09030,Sen. Craig Miner (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S30'&dist_name=Miner,%20Craig%20"
610U500US09022,Sen. Marilyn V. Moore (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S22'&dist_name=Moore,%20Marilyn%20V."
610U500US09019,Sen. Catherine A. Osten (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S19'&dist_name=Osten,%20Catherine%20A."
610U500US09014,Sen. Gayle S. Slossberg (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S14'&dist_name=Slossberg,%20Gayle%20S."
610U500US09018,Sen. Heather B. Somers (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S18'&dist_name=Somers,%20Heather%20B."
610U500US09013,Sen. Len Suzio (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S13'&dist_name=Suzio,%20Len%20"
610U500US09010,Sen. Gary A. Winfield (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S10'&dist_name=Winfield,%20Gary%20A."
610U500US09008,Sen. Kevin D. Witkos (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='S08'&dist_name=Witkos,%20Kevin%20D."
620L500US09083,Rep. Catherine F. Abercrombie (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='083'&dist_name=Abercrombie,%20Catherine%20F."
620L500US09008,Rep. Tim Ackert (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='008'&dist_name=Ackert,%20Tim%20"
620L500US09146,Rep. Terry B. Adams (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='146'&dist_name=Adams,%20Terry%20B."
620L500US09099,Rep. James M. Albis (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='099'&dist_name=Albis,%20James%20M."
620L500US09082,Rep. Emil Altobello (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='082'&dist_name=Altobello,%20Emil%20"
620L500US09004,Rep. Angel Arce (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='004'&dist_name=Arce,%20Angel%20"
620L500US09109,Rep. David Arconti (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='109'&dist_name=Arconti,%20David%20"
620L500US09030,Rep. Joe Aresimowicz (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='030'&dist_name=Aresimowicz,%20Joe%20"
620L500US09124,Rep. Andre F. Baker (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='124'&dist_name=Baker,%20Andre%20F."
620L500US09053,Rep. Sam Belsito (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='053'&dist_name=Belsito,%20Sam%20"
620L500US09073,Rep. Jeffrey J. Berger (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='073'&dist_name=Berger,%20Jeffrey%20J."
620L500US09078,Rep. Whit Betts (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='078'&dist_name=Betts,%20Whit%20"
620L500US09150,Rep. Mike Bocchino (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='150'&dist_name=Bocchino,%20Mike%20"
620L500US09106,Rep. Mitch Bolinsky (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='106'&dist_name=Bolinsky,%20Mitch%20"
620L500US09115,Rep. Dorinda Borer (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='115'&dist_name=Borer,%20Dorinda%20"
620L500US09050,Rep. Patrick S. Boyd (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='050'&dist_name=Boyd,%20Patrick%20S."
620L500US09067,Rep. Bill Buckbee (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='067'&dist_name=Buckbee,%20Bill%20"
620L500US09072,Rep. Larry B. Butler (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='072'&dist_name=Butler,%20Larry%20B."
620L500US09027,Rep. Gary Byron (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='027'&dist_name=Byron,%20Gary%20"
620L500US09151,Rep. Fred Camillo (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='151'&dist_name=Camillo,%20Fred%20"
620L500US09095,Rep. Juan R. Candelaria (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='095'&dist_name=Candelaria,%20Juan%20R."
620L500US09086,Rep. Vincent J. Candelora (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='086'&dist_name=Candelora,%20Vincent%20J."
620L500US09023,Rep. Devin R. Carney (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='023'&dist_name=Carney,%20Devin%20R."
620L500US09032,Rep. Christie M. Carpino (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='032'&dist_name=Carpino,%20Christie%20M."
620L500US09063,Rep. Jay M. Case (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='063'&dist_name=Case,%20Jay%20M."
620L500US09037,Rep. Holly H. Cheeseman (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='037'&dist_name=Cheeseman,%20Holly%20H."
620L500US09040,Rep. Christine Conley (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='040'&dist_name=Conley,%20Christine%20"
620L500US09065,Rep. Michelle L. Cook (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='065'&dist_name=Cook,%20Michelle%20L."
620L500US09074,Rep. Stephanie E. Cummings (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='074'&dist_name=Cummings,%20Stephanie%20E."
620L500US09011,Rep. Jeff Currey (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='011'&dist_name=Currey,%20Jeff%20"
620L500US09091,Rep. Michael D'Agostino (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='091'&dist_name=D'Agostino,%20Michael%20"
620L500US09071,Rep. Anthony J. D'Amelio (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='071'&dist_name=D'Amelio,%20Anthony%20J."
620L500US09044,Rep. Anne Dauphinais (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='044'&dist_name=Dauphinais,%20Anne%20"
620L500US09057,Rep. Christopher Davis (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='057'&dist_name=Davis,%20Christopher%20"
620L500US09041,Rep. Joe de la Cruz (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='041'&dist_name=de%20la%20Cruz,%20Joe%20"
620L500US09014,Rep. Tom Delnicki (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='014'&dist_name=Delnicki,%20Tom%20"
620L500US09021,Rep. Mike Demicco (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='021'&dist_name=Demicco,%20Mike%20"
620L500US09134,Rep. Laura M. Devlin (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='134'&dist_name=Devlin,%20Laura%20M."
620L500US09092,Rep. Patricia A. Dillon (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='092'&dist_name=Dillon,%20Patricia%20A."
620L500US09116,Rep. Michael A. DiMassa (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='116'&dist_name=DiMassa,%20Michael%20A."
620L500US09047,Rep. Doug Dubitsky (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='047'&dist_name=Dubitsky,%20Doug%20"
620L500US09002,Rep. William Duff (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='002'&dist_name=Duff,%20William%20"
620L500US09135,Rep. Adam Dunsby (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='135'&dist_name=Dunsby,%20Adam%20"
620L500US09088,Rep. Josh Elliott (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='088'&dist_name=Elliott,%20Josh%20"
620L500US09138,Rep. Michael Ferguson (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='138'&dist_name=Ferguson,%20Michael%20"
620L500US09117,Rep. Charles J. Ferraro (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='117'&dist_name=Ferraro,%20Charles%20J."
620L500US09090,Rep. Craig C. Fishbein (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='090'&dist_name=Fishbein,%20Craig%20C."
620L500US09018,Rep. Andrew M. Fleischmann (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='018'&dist_name=Fleischmann,%20Andrew%20M."
620L500US09149,Rep. Livvy R. Floren (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='149'&dist_name=Floren,%20Livvy%20R."
620L500US09148,Rep. Daniel J. Fox (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='148'&dist_name=Fox,%20Daniel%20J."
620L500US09042,Rep. Mike France (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='042'&dist_name=France,%20Mike%20"
620L500US09111,Rep. John H. Frey (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='111'&dist_name=Frey,%20John%20H."
620L500US09081,Rep. John Fusco (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='081'&dist_name=Fusco,%20John%20"
620L500US09010,Rep. Henry J. Genga (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='010'&dist_name=Genga,%20Henry%20J."
620L500US09104,Rep. Linda M. Gentile (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='104'&dist_name=Gentile,%20Linda%20M."
620L500US09110,Rep. Bob Godfrey (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='110'&dist_name=Godfrey,%20Bob%20"
620L500US09003,Rep. Minnie Gonzalez (D),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='003'&dist_name=Gonzalez,%20Minnie%20"
620L500US09055,Rep. Robin Green (R),"https://www.cga.ct.gov/asp/CGABillStatus/CGAMemberBills.asp?dist_code='055'&dist_name=Green,%20Robin%20"
